0.0000000000 0.0000000000,,,,,0,0
0.1000000000 -0.0024984379,,,,,0.1,-0.002498438
0.2000000000 -0.0099750278,,,,,0.2,-0.009975028
0.3000000000 -0.0223737535,,,,,0.3,-0.022373754
0.4000000000 -0.0396017733,,,,,0.4,-0.039601773
0.5000000000 -0.0615301928,,,,,0.5,-0.061530193
0.6000000000 -0.0879951365,,,,,0.6,-0.087995137
0.7000000000 -0.1187991114,,,,,0.7,-0.118799111
0.8000000000 -0.1537126472,,,,,0.8,-0.153712647
0.9000000000 -0.1924762019,,,,,0.9,-0.192476202
1.0000000000 -0.2348023134,,,,,1,-0.234802313
1.1000000000 -0.2803779815,,,,,1.1,-0.280377982
1.2000000000 -0.3288672557,,,,,1.2,-0.328867256
1.3000000000 -0.3799140104,,,,,1.3,-0.37991401
1.4000000000 -0.4331448796,,,,,1.4,-0.43314488
1.5000000000 -0.4881723283,,,,,1.5,-0.488172328
1.6000000000 -0.5445978324,,,,,1.6,-0.544597832
1.7000000000 -0.6020151406,,,,,1.7,-0.602015141
1.8000000000 -0.6600135890,,,,,1.8,-0.660013589
1.9000000000 -0.7181814406,,,,,1.9,-0.718181441
2.0000000000 -0.7761092209,,,,,2,-0.776109221
2.1000000000 -0.8333930197,,,,,2.1,-0.83339302
2.2000000000 -0.8896377331,,,,,2.2,-0.889637733
2.3000000000 -0.9444602156,,,,,2.3,-0.944460216
2.4000000000 -0.9974923167,,,,,2.4,-0.997492317
2.5000000000 -1.0483837765,,,,,2.5,-1.048383777
2.6000000000 -1.0968049544,,,,,2.6,-1.096804954
2.7000000000 -1.1424493700,,,,,2.7,-1.14244937
2.8000000000 -1.1850360334,,,,,2.8,-1.185036033
2.9000000000 -1.2243115458,,,,,2.9,-1.224311546
3.0000000000 -1.2600519549,,,,,3,-1.260051955
3.1000000000 -1.2920643476,,,,,3.1,-1.292064348
3.2000000000 -1.3201881696,,,,,3.2,-1.32018817
3.3000000000 -1.3442962604,,,,,3.3,-1.34429626
3.4000000000 -1.3642955967,,,,,3.4,-1.364295597
3.5000000000 -1.3801277399,,,,,3.5,-1.38012774
3.6000000000 -1.3917689834,,,,,3.6,-1.391768983
3.7000000000 -1.3992302029,,,,,3.7,-1.399230203
3.8000000000 -1.4025564093,,,,,3.8,-1.402556409
3.9000000000 -1.4018260134,,,,,3.9,-1.401826013
4.0000000000 -1.3971498073,,,,,4,-1.397149807
4.1000000000 -1.3886696754,,,,,4.1,-1.388669675
4.2000000000 -1.3765570469,,,,,4.2,-1.376557047
4.3000000000 -1.3610111047,,,,,4.3,-1.361011105
4.4000000000 -1.3422567693,,,,,4.4,-1.342256769
4.5000000000 -1.3205424751,,,,,4.5,-1.320542475
4.6000000000 -1.2961377616,,,,,4.6,-1.296137762
4.7000000000 -1.2693307014,,,,,4.7,-1.269330701
4.8000000000 -1.2404251876,,,,,4.8,-1.240425188
4.9000000000 -1.2097381081,,,,,4.9,-1.209738108
5.0000000000 -1.1775964295,,,,,5,-1.17759643
5.1000000000 -1.1443342195,,,,,5.1,-1.14433422
5.2000000000 -1.1102896325,,,,,5.2,-1.110289633
5.3000000000 -1.0758018862,,,,,5.3,-1.075801886
5.4000000000 -1.0412082558,,,,,5.4,-1.041208256
5.5000000000 -1.0068411113,,,,,5.5,-1.006841111
5.6000000000 -0.9730250230,,,,,5.6,-0.973025023
5.7000000000 -0.9400739611,,,,,5.7,-0.940073961
5.8000000000 -0.9082886099,,,,,5.8,-0.90828861
5.9000000000 -0.8779538199,,,,,5.9,-0.87795382
6.0000000000 -0.8493362160,,,,,6,-0.849336216
6.1000000000 -0.8226819794,,,,,6.1,-0.822681979
6.2000000000 -0.7982148167,,,,,6.2,-0.798214817
6.3000000000 -0.7761341289,,,,,6.3,-0.776134129
6.4000000000 -0.7566133868,,,,,6.4,-0.756613387
6.5000000000 -0.7397987173,,,,,6.5,-0.739798717
6.6000000000 -0.7258077011,,,,,6.6,-0.725807701
6.7000000000 -0.7147283745,,,,,6.7,-0.714728375
6.8000000000 -0.7066184258,,,,,6.8,-0.706618426
6.9000000000 -0.7015045684,,,,,6.9,-0.701504568
7.0000000000 -0.6993820648,,,,,7,-0.699382065
7.1000000000 -0.7002143689,,,,,7.1,-0.700214369
7.2000000000 -0.7039328436,,,,,7.2,-0.703932844
7.3000000000 -0.7104364973,,,,,7.3,-0.710436497
7.4000000000 -0.7195916730,,,,,7.4,-0.719591673
7.5000000000 -0.7312316064,,,,,7.5,-0.731231606
7.6000000000 -0.7451557497,,,,,7.6,-0.74515575
7.7000000000 -0.7611287398,,,,,7.7,-0.76112874
7.8000000000 -0.7788788620,,,,,7.8,-0.778878862
7.9000000000 -0.7980958305,,,,,7.9,-0.798095831
8.0000000000 -0.8184276737,,,,,8,-0.818427674
8.1000000000 -0.8394764699,,,,,8.1,-0.83947647
8.2000000000 -0.8607926285,,,,,8.2,-0.860792629
8.3000000000 -0.8818673577,,,,,8.3,-0.881867358
8.4000000000 -0.9021228885,,,,,8.4,-0.902122889
8.5000000000 -0.9208999464,,,,,8.5,-0.920899946
8.6000000000 -0.9374418662,,,,,8.6,-0.937441866
8.7000000000 -0.9508746372,,,,,8.7,-0.950874637
8.8000000000 -0.9601820321,,,,,8.8,-0.960182032
8.9000000000 -0.9641748245,,,,,8.9,-0.964174825
9.0000000000 -0.9614529168,,,,,9,-0.961452917
9.1000000000 -0.9503589971,,,,,9.1,-0.950358997
9.2000000000 -0.9289220942,,,,,9.2,-0.928922094
9.3000000000 -0.8947891223,,,,,9.3,-0.894789122
9.4000000000 -0.8451421747,,,,,9.4,-0.845142175
9.5000000000 -0.7765989424,,,,,9.5,-0.776598942
9.6000000000 -0.6850931955,,,,,9.6,-0.685093196
9.7000000000 -0.5657317486,,,,,9.7,-0.565731749
9.8000000000 -0.4126237418,,,,,9.8,-0.412623742
9.9000000000 -0.2186773894,,,,,9.9,-0.218677389
10.0000000000 0.0246414393,,,,,10,0.024641439
